project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
npm,v1.4.22,31 Jul 2014,10876,4116,6.8%,4.8%,7431,26.2,5.6,799,47,1,20,7368,39,31,1437,6902,C,163d,24.0%
npm,v1.3.0,20 Jun 2013,7450,3299,9.3%,0.0%,5377,39.7,6.7,761,0,0,20,5327,28,20,969,4779,C,118d,25.4%
npm,v1.0.26,17 Aug 2011,7847,3769,10.6%,0.0%,6045,43.8,7.0,927,0,0,54,5963,22,9,1034,5125,C,131d,26.9%
npm,v1.1.0-3,26 Jan 2012,8914,4192,9.9%,0.0%,6594,45.6,6.9,977,0,0,57,6501,29,10,1150,5669,C,143d,25.8%
node-mysql,v0.7.0,14 Oct 2010,3488,672,2.7%,0.0%,417,20.4,3.3,96,0,1,0,401,13,7,338,2666,B,23d,11.0%
npm,v1.1.0-2,16 Jan 2012,8912,4191,9.9%,0.0%,6590,45.6,6.9,977,0,0,57,6497,29,10,1150,5667,C,143d,25.8%
node-mysql,v0.9.0,04 Jan 2011,3598,701,4.2%,0.0%,424,19.5,3.3,159,0,1,0,408,13,8,347,2741,B,24d,10.9%
npm,v2.7.1,06 Mar 2015,19533,5870,5.1%,10.7%,12456,22.6,4.8,1044,135,0,18,12381,49,34,2442,11845,C,270d,22.1%
ember.js,v1.9.0-beta.3,15 Nov 2014,61844,13649,20.2%,6.3%,2433,25.9,2.2,15677,354,9,0,1968,395,100,8904,37366,A,74d,1.9%
npm,v1.3.9,23 Aug 2013,7661,3362,9.2%,0.0%,5496,39.1,6.5,775,0,0,19,5447,28,20,998,4898,C,121d,25.4%
npm,v0.1.23,07 Aug 2010,3738,1634,8.5%,0.0%,2829,28.7,6.3,347,0,0,58,2749,12,6,502,2406,C,65d,28.1%
bower,v1.3.6,02 Jul 2014,12759,3055,8.8%,19.6%,246,35.9,3.9,1233,218,3,10,158,42,15,1943,7325,A,4d 7h,0.6%
npm,v1.1.44,19 Jul 2012,7205,3158,8.8%,0.6%,5027,39.5,6.6,698,2,0,25,4982,17,17,908,4423,C,110d,24.5%
npm,v0.1.21,30 Jul 2010,3113,1400,8.2%,0.0%,2396,25.9,6.7,279,0,0,46,2327,12,6,396,2027,C,56d,29.2%
npm,v1.0.1rc3,30 Mar 2011,7160,3395,9.4%,0.0%,5612,37.3,6.8,742,0,0,56,5527,25,8,912,4756,C,126d,28.2%
npm,v2.1.7,31 Oct 2014,15269,5093,5.8%,6.9%,10026,23.6,5.3,940,73,0,18,9962,41,36,1913,9469,C,218d,22.9%
coffeescript,1.4.0,23 Oct 2012,6574,4550,1.4%,0.0%,2955,84.3,17.3,92,0,0,0,2899,56,3,1060,6227,B,64d,15.6%
q,v1.1.1,10 Nov 2014,6670,2182,14.7%,10.0%,379,109.1,3.4,1149,40,0,1,319,41,6,1396,4118,A,12d,2.9%
npm,v1.1.71,09 Jan 2013,7053,3181,9.3%,0.0%,5116,37.9,6.8,720,0,0,22,5072,19,21,910,4525,C,112d,25.6%
mocha,2.0.1,22 Oct 2014,8694,2784,18.9%,71.8%,1653,27.3,4.9,2025,98,0,0,1583,64,20,1527,5849,A,50d,9.2%
bower,v0.6.0,21 Nov 2012,2453,993,12.6%,2.2%,506,24.2,4.9,355,5,0,0,496,7,13,447,1938,B,21d,14.0%
bower,v1.0.1,29 Jul 2013,9275,2207,8.7%,12.6%,161,32.9,3.8,888,112,0,7,97,24,14,1438,5476,A,2d 5h,0.5%
q,v0.2.0,23 Dec 2010,654,254,19.4%,0.0%,311,25.4,3.4,157,0,0,13,291,1,4,158,554,B,7d,17.2%
npm,v1.4.14,05 Jun 2014,10828,4127,6.9%,5.4%,7437,26.8,5.6,802,49,1,20,7372,41,31,1438,6852,C,164d,24.3%
bower,v0.6.1,23 Nov 2012,2460,992,12.7%,2.2%,503,24.2,4.8,357,5,0,0,493,7,13,447,1941,B,21d,14.0%
bower,v0.5.1,20 Nov 2012,2295,910,12.7%,2.3%,465,23.9,4.7,334,5,0,0,455,7,12,416,1816,B,20d,14.4%
npm,v1.1.36,07 Jul 2012,7277,3204,8.8%,0.6%,5041,39.6,6.6,703,2,0,25,4996,16,17,926,4447,C,110d,24.3%
q,v1.1.2,22 Nov 2014,6670,2182,14.7%,10.0%,379,109.1,3.4,1149,40,0,1,319,41,6,1396,4118,A,12d,2.9%
npm,v0.2.16,24 Jan 2011,7122,3135,7.7%,0.0%,5240,34.1,6.2,592,0,0,78,5113,31,10,940,4465,C,114d,25.6%
npm,v0.2.4-1,16 Oct 2010,4698,2026,8.0%,0.0%,3466,30.2,6.0,409,0,0,53,3381,15,6,650,2977,C,74d,25.3%
npm,v1.3.10,04 Sep 2013,7701,3380,9.2%,0.0%,5530,38.4,6.5,776,0,0,19,5481,28,21,1006,4928,C,122d,25.4%
npm,v2.1.16,22 Dec 2014,16741,5360,5.5%,9.1%,10885,23.2,5.1,966,100,0,17,10821,42,36,2114,10297,C,236d,22.6%
npm,v1.0.1rc6,06 Apr 2011,7326,3466,9.3%,0.0%,5726,38.1,6.8,749,0,0,57,5641,24,8,932,4856,C,128d,28.1%
less.js,v1.5.0,21 Oct 2013,86748,63203,11.5%,94.9%,38746,513.8,10.0,11219,6226,0,1,36852,1839,8,17346,71165,B,1021d,18.8%
npm,v1.1.0-beta-0,09 Dec 2011,8622,4089,9.9%,0.0%,6442,45.4,7.0,949,0,0,52,6355,28,10,1114,5521,C,140d,26.1%
ember.js,v1.3.0-beta.2,08 Dec 2013,47914,11643,22.2%,6.1%,2313,25.9,2.3,13703,279,0,0,1997,284,88,7590,30407,A,68d,2.3%
bower,v0.9.0,25 Apr 2013,4513,1630,9.9%,6.5%,675,28.6,4.8,494,21,0,0,651,18,15,773,3306,A,26d,9.6%
npm,v1.1.34,29 Jun 2012,7272,3204,8.8%,0.6%,5037,39.6,6.6,703,2,0,25,4992,16,17,926,4443,C,110d,24.3%
npm,v0.3.10,01 Mar 2011,7175,3189,7.0%,0.0%,5383,34.7,6.4,542,0,0,82,5264,23,11,939,4582,C,120d,26.8%
npm,v1.0.6,04 May 2011,7617,3640,9.6%,0.3%,5896,40.0,6.8,805,2,0,57,5810,26,8,987,5021,C,129d,27.1%
npm,v1.2.21,13 May 2013,7291,3253,9.3%,0.0%,5278,40.2,6.8,752,0,0,20,5233,23,20,953,4686,C,116d,25.5%
npm,v1.4.7,15 Apr 2014,10069,3968,7.8%,3.3%,7019,30.5,5.9,848,29,1,20,6955,40,26,1343,6417,C,154d,24.5%
npm,v1.1.21,04 May 2012,8808,4019,8.9%,0.0%,6322,44.2,6.9,863,0,0,54,6243,21,13,1090,5521,C,138d,25.2%
npm,v1.0.16,16 Jul 2011,8169,3909,10.2%,0.2%,6310,40.7,6.9,926,2,0,57,6220,26,9,1070,5356,C,138d,27.1%
npm,v1.0.1rc5,31 Mar 2011,7165,3395,9.4%,0.0%,5613,37.3,6.8,742,0,0,56,5528,25,8,912,4757,C,126d,28.2%
q,v0.1.8,22 Nov 2010,579,221,19.4%,0.0%,294,24.6,3.5,139,0,0,13,275,1,4,134,482,B,6d 4h,18.2%
q,v1.1.0,09 Nov 2014,6670,2182,14.7%,10.0%,379,109.1,3.4,1149,40,0,1,319,41,6,1396,4118,A,12d,2.9%
bower,v1.2.7,29 Sep 2013,10397,2536,9.2%,13.6%,185,35.7,3.9,1054,172,1,8,116,31,13,1593,6108,A,3d 4h,0.5%
npm,v1.0.95,12 Oct 2011,8456,4022,9.8%,0.0%,6398,43.7,6.9,920,0,0,52,6312,27,10,1095,5474,C,139d,26.4%
q,v0.2.0rc1,22 Dec 2010,654,248,19.4%,0.0%,306,24.8,3.4,157,0,0,13,286,1,4,152,544,B,6d 7h,16.9%
npm,v1.1.0-alpha-3,30 Nov 2011,8545,4044,9.9%,0.0%,6407,44.4,7.0,944,0,0,52,6320,28,10,1105,5487,C,140d,26.2%
npm,v1.2.22,22 May 2013,7292,3255,9.3%,0.0%,5280,40.2,6.8,752,0,0,20,5235,23,20,953,4688,C,116d,25.5%
npm,v2.1.3,02 Oct 2014,12529,4504,6.2%,7.3%,8637,24.3,5.5,828,77,2,14,8577,39,35,1661,8062,C,189d,24.2%
npm,v0.3.13,03 Mar 2011,7173,3190,7.0%,0.0%,5385,34.7,6.4,544,0,0,82,5266,23,11,938,4584,C,120d,26.9%
bower,v1.2.6,04 Sep 2013,10339,2521,9.2%,12.9%,185,35.5,3.9,1051,151,1,8,115,31,13,1578,6078,A,3d 4h,0.5%
request,v2.43.0,18 Sep 2014,4353,1136,5.7%,9.1%,2179,21.0,4.0,261,27,3,0,2149,26,4,448,2676,B,50d,18.7%
request,v2.21.0,30 Apr 2013,3074,855,4.8%,7.3%,1653,25.1,4.2,154,18,0,0,1631,21,3,299,1934,B,38d,19.8%
npm,v1.1.61,10 Sep 2012,6946,3113,9.2%,0.6%,5006,38.4,6.7,704,2,0,23,4961,19,18,906,4433,C,110d,25.3%
q,v0.1.9,30 Nov 2010,638,316,18.1%,0.0%,359,28.7,3.7,141,0,0,13,340,1,4,186,641,C,8d,20.2%
npm,v0.2.13,23 Dec 2010,6801,2959,7.8%,0.0%,5011,32.9,6.2,574,0,0,77,4884,31,8,889,4264,C,109d,25.7%
npm,v1.2.31,18 Jun 2013,7440,3291,9.3%,0.0%,5362,39.7,6.7,759,0,0,20,5314,26,20,969,4767,C,118d,25.4%
mocha,0.6.0,18 Dec 2011,3663,1008,19.9%,71.1%,695,16.5,3.9,909,55,0,0,654,35,10,670,2319,A,18d,7.9%
npm,v1.4.1,13 Feb 2014,9077,3739,8.1%,1.4%,6378,32.8,6.2,798,11,0,20,6325,30,23,1213,5778,C,140d,24.8%
npm,v1.4.6,19 Mar 2014,9708,3864,7.8%,1.9%,6755,30.9,5.9,821,15,1,20,6700,31,25,1290,6157,C,148d,24.5%
npm,1.0.7,31 May 2011,7950,3787,9.8%,0.3%,6147,40.7,6.9,860,2,0,57,6057,26,8,1033,5224,C,134d,27.1%
npm,v1.1.62,25 Sep 2012,6900,3089,9.3%,0.0%,4973,38.1,6.7,704,0,0,23,4928,19,18,900,4397,C,109d,25.3%
npm,v1.3.18,16 Dec 2013,8693,3653,8.4%,0.0%,6101,34.1,6.3,800,0,0,21,6049,28,24,1147,5511,C,135d,24.9%
npm,v2.0.0,13 Sep 2014,11996,4464,6.6%,5.4%,8315,25.1,5.6,842,59,2,18,8254,37,35,1605,7724,C,182d,24.3%
q,v0.2.1,05 Jan 2011,818,318,21.6%,0.0%,325,26.5,3.5,225,0,0,13,306,1,5,193,648,B,7d 3h,14.5%
request,v2.22.0,05 Jul 2013,3099,863,4.9%,7.2%,1668,24.7,4.2,158,18,0,0,1645,22,3,302,1952,B,38d,19.8%
q,v0.2.5,10 Jan 2011,954,358,19.5%,0.0%,342,27.5,3.6,231,0,0,13,323,1,5,226,742,B,7d 7h,13.2%
node-mysql,v0.9.1,20 Feb 2011,3584,697,4.2%,0.0%,418,20.5,3.3,157,0,1,0,402,13,8,347,2735,B,23d,10.7%
npm,v0.2.17,01 Feb 2011,7166,3155,7.6%,0.0%,5273,34.3,6.3,593,0,0,78,5146,31,10,943,4495,C,114d,25.6%
q,v0.2.8,08 Feb 2011,1050,412,18.2%,0.0%,369,25.8,3.8,234,0,1,13,349,1,6,248,803,B,8d 4h,13.0%
npm,v0.1.26,22 Aug 2010,3699,1652,9.2%,0.0%,2846,28.0,6.3,373,0,0,56,2766,14,6,511,2392,C,61d,26.5%
bower,v0.9.1,27 Apr 2013,4546,1645,9.8%,6.5%,679,28.9,4.8,495,21,0,0,655,18,15,776,3327,A,27d,9.5%
ember.js,v1.3.0,06 Jan 2014,48811,11833,23.3%,6.0%,2411,26.2,2.3,14812,283,0,0,2085,286,89,7695,30914,A,71d,2.4%
npm,v2.1.8,06 Nov 2014,15648,5179,5.7%,7.6%,10257,23.5,5.3,941,77,0,18,10193,41,36,1975,9701,C,223d,22.8%
node-mysql,v0.9.3,22 Aug 2011,2991,547,4.8%,0.0%,292,21.9,3.5,152,0,6,0,267,13,8,223,1681,B,19d,10.2%
node-mysql,v2.3.2,29 May 2014,8586,1686,3.5%,2.5%,676,10.9,2.6,316,11,31,2,590,51,16,785,6763,A,23d,4.3%
npm,v1.1.46,01 Aug 2012,7256,3179,8.8%,0.6%,5045,39.2,6.7,701,2,0,25,5000,17,18,910,4456,C,110d,24.4%
npm,v1.5.0-alpha-2,14 Jul 2014,11205,4268,6.7%,4.7%,7716,26.8,5.8,800,47,1,19,7654,39,31,1490,7159,C,168d,24.1%
npm,v1.1.23,26 May 2012,8822,4024,8.9%,0.0%,6329,44.2,6.9,867,0,0,54,6251,20,13,1091,5529,C,138d,25.2%
request,v2.23.0,22 Jul 2013,3104,866,4.8%,7.2%,1665,24.7,4.2,158,18,0,0,1643,21,3,302,1953,B,38d,19.8%
npm,v1.4.24,14 Aug 2014,10969,4136,6.8%,4.9%,7495,26.0,5.6,805,49,1,20,7432,39,31,1449,6967,C,164d,24.0%
node-mysql,v0.9.2,07 Aug 2011,2995,547,4.7%,0.0%,292,22.8,3.5,147,0,6,0,267,13,7,222,1683,B,19d,10.2%
npm,v1.1.24,04 Jun 2012,8854,4040,9.0%,0.5%,6347,43.9,6.9,876,2,0,54,6269,20,14,1093,5555,C,139d,25.2%
npm,v1.2.1,14 Jan 2013,7165,3228,9.2%,0.0%,5222,38.4,6.8,729,0,0,22,5177,20,21,927,4616,C,115d,25.7%
npm,v0.2.18,10 Feb 2011,7168,3155,7.6%,0.0%,5275,34.3,6.3,593,0,0,78,5148,31,10,943,4497,C,114d,25.6%
node-mysql,v2.4.0,13 Jul 2014,9283,1769,3.1%,4.5%,534,10.3,2.7,293,23,27,2,452,51,16,885,7234,A,21d,3.7%
grunt,v0.4.1,13 Mar 2013,4158,944,14.4%,1.1%,323,20.5,2.6,698,2,124,0,160,11,11,542,2640,A,8d 5h,3.4%
npm,v1.4.27,05 Sep 2014,10970,4127,6.8%,4.9%,7503,25.8,5.6,805,49,1,20,7441,38,31,1446,6975,C,164d,24.0%
npm,v1.0.96,13 Oct 2011,8463,4024,9.8%,0.0%,6403,43.7,6.9,920,0,0,52,6317,27,10,1095,5479,C,139d,26.4%
q,v0.2.9,28 Feb 2011,1055,413,18.2%,0.0%,369,25.8,3.8,234,0,1,13,349,1,6,248,805,B,8d 4h,13.0%
npm,v1.4.8,01 May 2014,10264,4028,7.8%,3.3%,7179,29.0,5.9,870,29,2,20,7115,39,29,1370,6562,C,158d,24.7%
npm,v0.2.13-2,28 Dec 2010,6807,2963,7.8%,0.0%,5015,32.9,6.2,574,0,0,77,4888,31,8,890,4268,C,109d,25.7%
npm,v0.2.5,24 Oct 2010,4976,2168,7.9%,0.0%,3679,31.9,6.0,428,0,0,73,3571,16,6,689,3138,C,78d,25.2%
npm,v2.1.4,09 Oct 2014,12929,4540,6.1%,5.2%,8806,24.1,5.5,844,61,0,14,8747,40,35,1679,8250,C,192d,23.8%
ember.js,v1.5.0-beta.3,01 Mar 2014,51459,12351,23.1%,5.8%,2480,26.6,2.3,15466,286,0,0,2140,297,90,7976,32437,A,74d,2.3%
node-mysql,v2.4.1,17 Jul 2014,9387,1797,3.0%,4.7%,535,10.4,2.7,295,25,27,2,453,51,16,903,7304,A,21d,3.6%
npm,v1.1.45,24 Jul 2012,7250,3187,8.8%,0.6%,5053,39.8,6.7,702,2,0,25,5008,17,17,909,4457,C,110d,24.5%
npm,v1.4.20,02 Jul 2014,10876,4116,6.8%,4.8%,7431,26.2,5.6,799,47,1,20,7368,39,31,1437,6902,C,163d,24.0%
npm,v1.2.23,24 May 2013,7292,3255,9.3%,0.0%,5280,40.2,6.8,752,0,0,20,5235,23,20,953,4688,C,116d,25.5%
less.js,v1.5.1,17 Nov 2013,86836,63275,11.4%,94.8%,38782,506.2,10.1,11225,6183,0,1,36878,1846,8,17353,71233,B,1023d,18.9%
ember.js,v1.8.0-beta.5,13 Oct 2014,60326,13406,20.7%,5.9%,2677,26.3,2.2,15775,331,8,0,2208,393,97,8677,36734,A,81d,2.2%
npm,v2.6.1,20 Feb 2015,18414,5731,5.1%,10.4%,11885,22.6,5.0,991,123,0,18,11814,45,36,2331,11270,C,258d,22.4%
npm,v1.1.50,17 Aug 2012,6680,2993,9.1%,0.7%,4803,37.4,6.7,666,2,0,23,4761,16,18,855,4247,C,105d,25.3%
less.js,v1.6.0,01 Jan 2014,93203,67965,11.3%,95.0%,41754,531.0,10.3,11855,6591,0,1,39684,2004,8,18497,76634,B,1099d,18.9%
npm,v0.1.24,10 Aug 2010,3684,1628,8.4%,0.0%,2806,28.1,6.3,340,0,0,58,2726,12,6,506,2367,C,60d,26.2%
ember.js,v1.0.0-rc.5,01 Jun 2013,48156,12997,21.6%,5.8%,2534,30.2,3.2,13259,252,0,0,2147,361,92,7031,29655,A,89d,3.0%
npm,v2.3.0,15 Jan 2015,17252,5436,5.3%,9.1%,11194,22.8,5.1,965,101,0,19,11126,44,36,2175,10604,C,243d,22.6%
ember.js,v1.4.0-beta.1,07 Jan 2014,49954,12018,23.1%,5.9%,2435,26.2,2.3,15023,288,0,0,2098,293,90,7759,31530,A,73d,2.3%
q,v0.2.6,31 Jan 2011,1006,389,18.9%,0.0%,356,27.8,3.8,234,0,0,13,337,1,5,236,777,B,8d 2h,13.2%
npm,v1.1.0-alpha-4,01 Dec 2011,8545,4044,9.9%,0.0%,6407,44.4,7.0,944,0,0,52,6320,28,10,1105,5487,C,140d,26.2%
npm,v0.2.7-3,09 Nov 2010,5264,2281,7.9%,0.0%,3888,31.7,6.0,452,0,0,68,3787,15,6,729,3317,C,83d,25.4%
bower,v1.2.8,02 Dec 2013,10442,2545,9.3%,13.9%,188,35.8,3.9,1066,184,1,8,118,32,13,1597,6137,A,3d 4h,0.5%
npm,v0.2.7-2,07 Nov 2010,5257,2278,7.9%,0.0%,3880,31.6,6.0,452,0,0,68,3779,15,6,727,3312,C,83d,25.4%
node-mysql,v2.5.2,10 Oct 2014,9948,1900,3.2%,6.3%,569,10.3,2.6,334,29,27,2,464,72,16,974,7680,A,21d,3.5%
npm,v0.1.27-1,26 Aug 2010,4094,1825,8.2%,0.6%,3192,29.4,6.1,365,2,0,47,3122,14,5,577,2688,C,68d,26.9%
grunt,v0.4.4,12 Mar 2014,4010,874,14.2%,3.6%,333,19.9,2.8,663,23,142,0,155,10,12,498,2447,A,8d 6h,3.5%
npm,v1.0.1rc7,08 Apr 2011,7377,3495,9.3%,0.0%,5763,38.4,6.8,755,0,0,57,5678,24,8,946,4890,C,129d,28.0%
npm,v1.1.14,28 Mar 2012,8768,3998,8.9%,0.0%,6313,43.9,6.8,856,0,0,54,6234,21,13,1086,5509,C,138d,25.3%
npm,v1.1.15,29 Mar 2012,8768,3998,8.9%,0.0%,6313,43.9,6.8,856,0,0,54,6234,21,13,1086,5509,C,138d,25.3%
npm,v1.1.16,06 Apr 2012,8777,3998,8.9%,0.0%,6317,43.9,6.8,856,0,0,54,6238,21,13,1086,5513,C,138d,25.2%
node-mysql,v2.4.2,03 Aug 2014,9509,1823,3.0%,4.7%,537,10.3,2.7,299,25,27,2,455,51,16,924,7400,A,21d,3.6%
npm,v1.1.13,27 Mar 2012,8839,4049,9.2%,0.0%,6390,44.0,6.9,897,0,0,54,6308,24,13,1095,5563,C,140d,25.4%
node-mysql,v0.9.4,31 Aug 2011,3004,549,4.8%,0.0%,292,21.1,3.5,152,0,6,0,267,13,8,225,1692,B,19d,10.2%
node-mysql,v2.5.4,16 Dec 2014,10027,1919,3.2%,7.0%,571,10.2,2.6,334,33,27,2,466,72,16,990,7744,A,21d,3.5%
grunt,v0.4.3,07 Mar 2014,4003,872,14.1%,3.6%,332,19.8,2.8,659,23,142,0,154,10,12,498,2443,A,8d 6h,3.5%
npm,v0.1.0,03 May 2010,2028,798,11.4%,2.0%,1415,24.2,6.1,262,2,0,36,1358,10,3,244,1263,C,42d,33.7%
npm,v2.7.2,13 Mar 2015,19571,5882,5.1%,10.7%,12478,22.6,4.8,1055,135,0,18,12403,49,34,2443,11874,C,270d,22.1%
npm,v2.0.1,19 Sep 2014,12194,4500,6.5%,6.3%,8444,25.0,5.6,842,68,2,18,8383,37,35,1634,7846,C,184d,24.3%
npm,v1.3.2,09 Jul 2013,7543,3319,9.2%,0.0%,5435,39.0,6.7,761,0,0,20,5385,28,20,980,4837,C,119d,25.4%
npm,v0.3.16,20 Mar 2011,7218,3214,7.1%,0.0%,5426,34.9,6.5,549,0,0,82,5307,23,11,939,4613,C,121d,26.9%
npm,v2.1.5,16 Oct 2014,14477,4928,6.0%,5.4%,9615,23.7,5.4,920,69,0,18,9551,41,36,1821,9057,C,210d,23.2%
npm,v1.1.25,11 Jun 2012,8098,3652,9.3%,0.5%,5717,44.0,6.7,828,2,0,48,5642,22,13,1015,5015,C,125d,24.7%
npm,v1.1.0-beta-1,13 Dec 2011,8667,4108,10.0%,0.0%,6477,45.1,7.0,964,0,0,52,6390,28,10,1120,5553,C,141d,26.1%
npm,v1.3.4,12 Jul 2013,7639,3346,9.2%,0.0%,5483,39.4,6.5,772,0,0,19,5434,28,20,995,4894,C,121d,25.4%
npm,v1.0.97,14 Oct 2011,8470,4028,9.8%,0.0%,6403,43.8,6.9,920,0,0,52,6317,27,10,1095,5480,C,139d,26.4%
npm,v0.2.13-1,26 Dec 2010,6802,2960,7.8%,0.0%,5011,32.9,6.2,574,0,0,77,4884,31,8,889,4264,C,109d,25.7%
npm,v1.2.2,18 Jan 2013,7163,3228,9.2%,0.0%,5222,38.4,6.8,730,0,0,22,5177,20,21,927,4615,C,115d,25.7%
npm,v1.2.3,24 Jan 2013,7172,3246,9.2%,0.0%,5229,38.6,6.8,731,0,0,22,5184,20,21,930,4621,C,115d,25.7%
node-mysql,v2.5.5,23 Feb 2015,10284,1921,4.0%,9.9%,572,10.2,2.7,433,35,27,2,467,72,16,989,7742,A,21d,3.4%
npm,v0.1.3,05 May 2010,2061,819,11.3%,0.0%,1446,24.8,6.2,262,0,0,37,1388,10,3,247,1283,C,43d,33.7%
npm,v1.1.0-beta-2,14 Dec 2011,8667,4108,10.0%,0.0%,6477,45.1,7.0,964,0,0,52,6390,28,10,1120,5553,C,141d,26.1%
node-mysql,v2.2.0,27 Apr 2014,6720,1575,4.1%,3.1%,645,10.8,2.7,288,11,24,0,569,49,16,722,5101,A,22d,5.2%
node-mysql,v2.0.0-alpha4,03 Nov 2012,4693,1002,4.2%,2.9%,386,10.0,2.5,208,7,24,0,321,41,12,442,3571,A,15d,5.4%
npm,v2.1.18,01 Jan 2015,17020,5403,5.3%,9.1%,11050,23.1,5.1,962,101,0,17,10986,42,36,2148,10461,C,240d,22.6%
grunt,v0.4.2,16 Dec 2013,4208,953,14.3%,1.1%,328,21.2,2.7,702,2,127,0,163,11,12,543,2662,A,8d 6h,3.4%
node-mysql,v2.5.3,06 Nov 2014,9965,1903,3.2%,6.3%,569,10.2,2.6,334,29,27,2,464,72,16,978,7694,A,21d,3.5%
node-mysql,v2.0.0-alpha8,30 Apr 2013,5421,1199,3.8%,2.5%,444,10.1,2.6,215,7,22,0,377,45,13,516,4129,A,17d,5.2%
node-mysql,v2.6.0,24 Mar 2015,10701,2010,3.9%,10.2%,584,10.0,2.7,430,43,27,2,479,72,16,1046,8044,A,22d,3.3%
npm,rplockfix,31 Jan 2013,7212,3263,9.2%,0.0%,5277,38.8,6.8,731,0,0,22,5232,20,21,930,4665,C,116d,25.8%
node-mysql,v2.0.0-alpha7,03 Feb 2013,5153,1139,3.9%,2.7%,427,9.7,2.5,208,7,24,0,365,38,13,502,3920,A,16d,5.3%
npm,v2.1.13,12 Dec 2014,16740,5360,5.5%,9.1%,10885,23.2,5.1,966,100,0,17,10821,42,36,2114,10297,C,236d,22.6%
npm,1.1.25,10 Jun 2012,8099,3652,9.3%,0.5%,5717,44.0,6.7,828,2,0,48,5642,22,13,1015,5015,C,125d,24.7%
npm,v1.1.2,24 Feb 2012,9196,4311,10.0%,0.0%,6774,45.9,7.0,1022,0,0,57,6680,30,10,1178,5849,C,148d,25.8%
npm,v2.1.12,04 Dec 2014,16595,5330,5.5%,8.9%,10795,23.2,5.1,964,96,0,18,10732,40,36,2097,10219,C,234d,22.6%
q,v0.3.0,18 Mar 2011,1109,432,17.8%,0.0%,370,27.0,3.8,240,0,1,13,349,1,6,262,839,B,8d 4h,12.4%
npm,v1.1.38,11 Jul 2012,7289,3212,8.9%,0.6%,5060,39.7,6.6,709,2,0,25,5014,18,17,926,4459,C,111d,24.4%
npm,v2.0.0-alpha.6.0,07 Aug 2014,11336,4301,6.7%,5.4%,7821,26.4,5.8,812,51,1,18,7760,39,32,1509,7252,C,171d,24.2%
ember.js,v1.7.0-beta.3,24 Jul 2014,61677,14163,21.2%,5.4%,2950,28.5,2.4,16569,308,3,0,2420,406,99,8820,36875,A,88d,2.3%
npm,v1.1.48,06 Aug 2012,7251,3187,8.8%,0.6%,5051,39.3,6.7,698,2,0,25,5006,17,18,910,4457,C,110d,24.5%
npm,v1.3.12,24 Oct 2013,7927,3454,9.0%,0.0%,5677,37.1,6.5,782,0,0,19,5628,28,21,1039,5077,C,125d,25.4%
npm,v1.0.27,24 Aug 2011,7952,3827,10.5%,0.0%,6128,44.5,6.9,935,0,0,54,6045,23,9,1049,5203,C,133d,26.9%
npm,v1.4.15,10 Jun 2014,10846,4134,6.9%,5.4%,7452,26.8,5.7,802,49,1,20,7387,41,31,1439,6867,C,164d,24.3%
npm,v1.2.24,30 May 2013,7320,3271,9.3%,0.0%,5294,40.4,6.8,755,0,0,20,5248,24,20,957,4704,C,116d,25.5%
node-mysql,v0.9.5,26 Nov 2011,2958,533,4.7%,0.0%,319,14.0,3.5,146,0,8,0,293,13,11,198,1709,B,19d,10.6%
npm,v0.2.5-1,25 Oct 2010,4980,2171,7.9%,0.0%,3683,31.9,6.0,428,0,0,73,3575,16,6,690,3141,C,78d,25.2%
node-mysql,v2.1.1,13 Mar 2014,6396,1495,4.2%,3.3%,620,10.8,2.7,279,11,22,0,545,50,13,677,4842,A,20d,5.2%
npm,v1.1.37,10 Jul 2012,7325,3233,8.8%,0.6%,5087,39.9,6.6,710,2,0,25,5041,18,17,933,4486,C,111d,24.4%
node-mysql,v2.5.1,22 Sep 2014,9873,1890,3.2%,5.2%,571,10.3,2.7,324,27,27,2,468,70,16,964,7640,A,21d,3.6%
npm,v0.3.15,06 Mar 2011,7211,3207,7.1%,0.0%,5420,34.9,6.4,549,0,0,82,5301,23,11,939,4612,C,121d,26.9%
ember.js,v1.8.0-beta.1,21 Aug 2014,59475,13240,20.9%,5.9%,2664,26.2,2.2,15704,329,4,0,2208,383,97,8574,36231,A,80d,2.2%
npm,v1.2.15,20 Mar 2013,7457,3339,9.5%,0.0%,5395,38.8,6.8,781,0,0,22,5347,23,20,964,4777,C,118d,25.5%
node-mysql,v0.9.6,12 Mar 2012,2963,536,4.7%,0.0%,320,14.1,3.5,146,0,8,0,294,13,11,199,1714,B,19d,10.6%
ember.js,v1.0.0-rc.1.1,25 Jul 2013,57904,17012,26.3%,44.1%,4077,42.1,4.4,20644,537,0,0,3559,485,87,8055,36069,A,131d,3.6%
npm,v1.1.1,08 Feb 2012,8960,4212,9.9%,0.0%,6620,45.3,6.9,981,0,0,57,6527,29,10,1157,5697,C,144d,25.8%
npm,v0.0.7,02 May 2010,1979,780,11.6%,2.1%,1355,24.4,6.0,259,2,0,34,1300,10,3,238,1234,C,41d,33.5%
npm,v0.3.17,21 Mar 2011,7229,3220,7.1%,0.0%,5436,35.0,6.5,549,0,0,82,5317,23,11,939,4624,C,121d,26.9%
