project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
mocha,0.3.0,04 Dec 2011,3106,849,20.6%,68.2%,646,15.7,3.2,808,49,0,0,612,30,10,598,1952,A,15d,8.0%
less.js,v1.4.0-b4,04 May 2013,61109,43866,12.2%,93.6%,26434,456.9,9.9,8482,4690,0,0,25157,1253,7,12079,49147,B,712d,18.7%
mocha,1.12.0,01 Jul 2013,6944,2089,20.1%,74.3%,1352,24.6,4.6,1751,89,0,0,1292,56,15,1183,4597,A,40d,9.4%
npm,v2.5.1,06 Feb 2015,18034,5653,5.2%,10.1%,11651,22.9,5.0,980,119,0,19,11579,45,36,2276,11045,C,253d,22.5%
mocha,1.18.0,13 Mar 2014,8014,2537,19.7%,73.0%,1562,26.7,4.8,1965,100,0,0,1500,58,18,1408,5365,A,47d,9.5%
underscore,1.2.0,05 Oct 2011,1666,1006,12.7%,0.0%,765,91.5,4.8,242,0,0,0,745,20,2,474,1885,B,20d,19.6%
q,v0.9.2,10 Mar 2013,6057,2194,14.8%,11.0%,606,121.9,3.4,1050,40,0,1,567,26,5,1374,4074,A,17d,4.6%
brackets,sprint-18,21 Dec 2012,186614,66594,18.8%,68.0%,32437,160.9,9.4,43224,4714,0,3,27659,4151,79,18139,106352,A,791d,6.8%
mocha,1.17.0,09 Jan 2014,7794,2478,20.1%,73.7%,1563,26.1,4.8,1961,100,0,0,1501,58,18,1364,5223,A,47d,9.8%
npm,v0.2.11,05 Dec 2010,6333,2777,8.2%,0.0%,4694,33.5,6.2,563,0,0,69,4577,28,8,851,3995,C,101d,25.6%
less.js,v2.0.0,09 Nov 2014,17763,9055,10.2%,74.3%,4520,63.8,9.6,2023,158,3,0,4187,303,18,2538,13029,B,132d,12.0%
mongoose,4.0.0-rc1,01 Feb 2015,40821,9152,12.2%,13.0%,5002,66.8,4.9,5683,437,21,12,4804,156,13,5612,27119,A,145d,5.7%
bower,v1.0.0-alpha.6,14 Jul 2013,9053,2124,8.3%,11.7%,152,32.2,3.7,818,112,0,7,93,21,14,1424,5362,A,2d 3h,0.4%
request,v2.32.0,16 Jan 2014,3328,939,5.2%,6.7%,1793,22.9,4.1,181,18,0,0,1764,28,4,327,2097,C,41d,20.1%
less.js,v2.3.0,27 Jan 2015,18387,9371,10.1%,74.1%,4656,64.6,9.7,2059,162,3,0,4309,318,18,2587,13506,B,137d,12.0%
mongoose,4.0.0-rc4,14 Mar 2015,41626,9319,12.0%,12.8%,4981,67.0,4.8,5700,442,22,12,4780,159,12,5724,27584,A,144d,5.6%
ember.js,v1.2.0-beta.4,15 Nov 2013,47230,11468,22.3%,5.7%,2307,25.7,2.3,13540,263,0,0,1995,281,88,7451,29990,A,68d,2.3%
npm,v2.5.0,30 Jan 2015,18020,5651,5.2%,10.3%,11649,22.9,5.0,981,118,0,19,11576,46,36,2273,11043,C,253d,22.5%
npm,v2.1.2,29 Sep 2014,12600,4550,6.3%,7.2%,8670,24.5,5.5,841,77,2,15,8609,39,35,1686,8092,C,189d,24.1%
source-map,0.1.34,09 Jun 2014,3211,589,15.3%,0.9%,224,21.8,5.1,579,2,2,1,216,5,6,237,1718,A,10d,5.3%
q,v0.8.10,05 Nov 2012,5527,2041,16.4%,10.5%,609,136.1,3.6,1084,34,0,1,565,32,5,1210,3808,A,17d,5.1%
npm,v1.1.42,16 Jul 2012,7205,3158,8.8%,0.6%,5027,39.5,6.6,698,2,0,25,4982,17,17,908,4423,C,110d,24.5%
mongoose,2.6.0,19 Apr 2012,17465,3901,10.7%,7.3%,1875,54.2,3.1,2101,104,5,8,1751,87,9,2437,11019,A,65d,6.0%
bower,v0.7.0,01 Feb 2013,3239,1276,12.3%,4.8%,594,27.1,5.0,455,13,0,0,578,12,15,573,2505,B,25d,12.5%
npm,v2.7.0,27 Feb 2015,18965,5790,5.1%,10.2%,12181,22.5,4.9,1017,128,0,18,12107,48,34,2388,11554,C,264d,22.3%
coffeescript,1.8.0,26 Aug 2014,7648,5189,1.6%,0.0%,3716,79.8,17.1,123,0,0,0,3667,49,6,1225,6894,B,82d,17.2%
npm,v1.1.9,14 Mar 2012,9309,4340,9.9%,0.0%,6828,46.2,6.9,1027,0,0,55,6739,28,13,1176,5918,C,149d,25.7%
bootstrap,v3.1.1,13 Feb 2014,4501,1895,6.8%,62.6%,3687,61.1,5.5,328,38,1,0,3609,35,5,753,3325,C,87d,31.2%
npm,v1.0.11,14 Jun 2011,7967,3802,9.9%,0.3%,6160,40.4,6.9,879,2,0,57,6070,26,9,1033,5231,C,135d,27.1%
ember.js,v1.4.0-beta.5,03 Feb 2014,50349,12124,23.2%,6.0%,2463,26.4,2.3,15167,290,0,0,2121,298,90,7821,31780,A,74d,2.4%
bower,v0.8.1,25 Feb 2013,4152,1515,10.5%,6.3%,644,28.1,4.8,485,19,0,0,621,18,15,716,3053,B,26d,10.2%
bower,v1.0.0-rc.2,19 Jul 2013,9130,2140,8.4%,11.6%,153,32.9,3.7,840,112,0,7,95,21,14,1438,5416,A,2d 4h,0.4%
source-map,0.1.42,31 Dec 2014,3742,632,14.7%,2.1%,245,23.4,5.0,646,6,4,1,234,5,6,263,1989,A,11d,4.8%
bootstrap,v3.3.0,29 Oct 2014,6543,2283,5.1%,58.8%,4787,73.6,5.3,352,72,0,0,4685,50,5,936,4408,C,110d,27.0%
underscore,1.1.7,13 Jul 2011,1415,918,11.9%,0.0%,620,83.5,4.6,192,0,0,0,611,9,2,453,1660,B,16d,18.1%
mocha,1.3.0,05 Jul 2012,5854,1674,20.4%,74.5%,1192,21.2,4.1,1497,77,0,0,1140,48,13,1037,3795,A,34d,9.3%
